Voltage_V,Photon_Counts
0.0,10.46538102508693
0.20833333333333334,12.882776537518332
0.4166666666666667,8.663537663043892
0.625,11.272730846062368
0.8333333333333334,15.075512965514617
1.0416666666666667,10.236723682921
1.25,11.933945756928388
1.4583333333333335,9.891468633698443
1.6666666666666667,9.545645435971377
1.875,12.315657628881219
2.0833333333333335,18.36672220096059
2.291666666666667,145.2587308834731
2.5,255.54688466980366
2.7083333333333335,348.8958252104749
2.916666666666667,474.9386669643241
3.125,546.002174182135
3.3333333333333335,679.0852314286309
3.541666666666667,730.3135572884538
3.75,872.805562086108
3.9583333333333335,964.8653502772039
4.166666666666667,1105.5604198504539
4.375,1156.3544493183526
4.583333333333334,1270.0262017664263
4.791666666666667,1398.8939326735838
5.0,1476.8938244354474
