Voltage_V,Photon_Counts
0.0,12.089479873606022
0.20833333333333334,7.411031465727226
0.4166666666666667,14.2141156220248
0.625,12.070337782808448
0.8333333333333334,13.545340306219831
1.0416666666666667,9.398718608922435
1.25,7.030439798528437
1.4583333333333335,10.760087448042922
1.6666666666666667,12.613286315697218
1.875,9.567000321601661
2.0833333333333335,57.99441010784902
2.291666666666667,153.44875498516208
2.5,228.2573603536388
2.7083333333333335,337.58815841650477
2.916666666666667,501.55501214837847
3.125,585.9102526430545
3.3333333333333335,665.6501214451946
3.541666666666667,758.5102415639873
3.75,886.0733714434244
3.9583333333333335,988.594417415768
4.166666666666667,1122.331450344822
4.375,1191.716484239508
4.583333333333334,1274.2811160403987
4.791666666666667,1409.6172269209271
5.0,1495.290472802555
